26070,9623,15475,14390,11423,6144,1,1
17380,9623,20967,18256,26111,10348,2283,158
78210,38494,37108,36513,40799,18109,2772,1
8690,1,1164,2362,1865,970,1,1
8690,1,1164,1503,1865,1131,1,1
8690,1,7488,8161,6761,3233,163,1
8690,28870,21799,21693,25412,8731,815,1
8690,1,4492,3866,3963,2910,163,1
8690,9623,7987,8161,6994,3557,978,1
8690,9623,8320,4080,3963,2425,652,1
8690,1,3161,2147,2098,1131,1,1
8690,1,1996,4510,4429,2425,163,1
17380,1,4825,4510,6294,3233,326,158
43450,19247,43598,39306,52223,20696,2609,1
26070,1,21466,18256,18418,9863,2283,1
17380,28870,13146,12887,13055,5335,815,1
8690,9623,7155,10739,9558,2748,978,1
8690,9623,4992,6658,6527,2748,163,1
8690,38494,24627,27278,19117,9216,1141,1
34760,9623,17472,23841,16553,7923,1467,1
8690,1,665,859,699,161,1,1
17380,1,4659,4080,3263,970,1,1
8690,1,2496,859,1398,323,1,1
17380,1,3494,4080,932,808,326,158
17380,1,6989,5154,4196,2102,815,1
17380,1,8653,9665,5362,1940,326,158
8690,28870,13811,16323,9325,5659,652,1
17380,1,1830,4080,3963,808,163,1
8690,9623,7987,7947,8159,3233,326,1
8690,1,3328,2792,5362,1455,163,1
8690,1,5491,6873,4662,1455,1,1
17380,1,6989,8806,11890,9054,2772,1
8690,28870,7155,10954,13289,12450,2609,317
8690,1,17638,13102,14221,6144,652,1
8690,1,2329,1933,3030,808,489,1
8690,9623,24295,25344,17019,6952,1956,1
8690,9623,3993,4080,5362,1778,652,1
8690,1,4160,5799,4196,2587,326,1
17380,9623,8320,10095,9092,4204,652,1
8690,1,1996,644,2331,161,1,1
8690,1,3328,4510,3963,1778,163,1
34760,19247,11814,11383,9791,3395,326,317
8690,1,1996,2147,2331,1616,1,1
8690,1,1664,2147,1631,646,163,1
8690,1,1331,1503,1631,646,489,1
8690,9623,6156,4295,5595,3557,326,1
8690,9623,5491,5369,4895,2587,163,1
26070,1,8153,10739,11190,4365,978,1
8690,9623,11315,11168,9325,4042,1141,1
8690,1,1830,2577,3263,1131,1,1
8690,1,3993,3651,5129,1131,163,1
17380,1,9984,8161,7460,3395,326,1
8690,1,3827,2147,3497,2748,489,1
8690,1,4160,4080,3730,2910,163,1
17380,1,4326,3866,3497,1616,652,1
8690,9623,1996,2147,1631,646,1,1
8690,9623,4992,7947,7926,6791,978,1
8690,9623,14310,12672,13755,6629,1630,1
8690,9623,5491,4940,3497,485,163,1
60830,9623,21965,21478,15154,6144,1304,158
17380,1,5657,4510,7693,1778,163,1
34760,19247,20634,26633,22847,6791,815,1
26070,9623,30119,26633,32639,11965,652,158
8690,1,2995,2577,2331,970,1,1
8690,1,2995,1503,2098,646,163,1
26070,9623,11149,12457,12589,5335,1956,1
8690,19247,3660,5799,3730,970,489,1
8690,9623,9651,9450,10957,5659,1141,1
8690,9623,4326,3221,2797,970,489,1
8690,1,8985,10954,7693,2587,326,1
17380,1,6156,5154,3030,1131,163,1
34760,1,4992,9235,7460,2425,163,1
