6323,1,7002,3677,2875,3030,202,1,1
4215,1,4668,2626,3234,4040,2434,198,1
3513,1,5446,3677,2516,4647,608,198,1
5152,1,4668,4859,5571,3232,3448,794,1
4684,1,6224,7224,7009,6667,1622,397,1
6792,1,3112,5385,3774,3434,811,397,1
2107,1,1167,1444,2695,2424,811,198,1
8197,1,3501,5516,4672,4242,2434,397,1
11008,1,12838,13265,15635,31114,64106,38113,17251
9368,1,14005,9194,8267,8687,3245,198,1
9368,1,11670,9456,13479,12930,4463,992,1
8666,1,5057,8537,6290,6263,2840,1191,1
12881,1,12059,10639,11681,8283,4057,595,239
17800,1,22563,16155,17612,13739,5071,397,1
2576,1,9336,3415,5930,4849,2028,1389,1
4215,1,1945,2889,1078,1212,1622,198,1
21547,1,22174,22591,21207,15557,6897,1389,239
5152,1,2334,1970,2336,2424,3043,1,1
16863,42707,15172,20752,17073,13537,8317,1389,1
3981,1,7780,3809,5751,3030,4260,397,1
65346,1,54853,65279,64160,55764,19881,4367,479
9602,1,7780,9982,7009,8687,2637,198,1
1873,1,2723,4991,3234,3636,2434,595,1
5855,1,1945,4991,3055,4849,2637,397,1
12413,1,18284,20490,66496,431769,1399586,877409,363246
2342,21353,4279,6567,5571,5253,1825,595,1
4684,1,4668,5516,4133,5657,2028,198,1
3981,1,5835,6435,5571,4849,2637,794,479
4684,1,5057,3020,3234,2020,1420,1389,239
13350,1,8947,10507,10783,10910,6694,397,1
24358,21353,24898,29027,22824,17577,10143,1588,1
14053,1,10892,13134,9704,9900,3854,198,1
4684,1,778,3020,3414,2626,1,1,1
17097,42707,13616,20884,15096,11718,6897,1191,1
5152,1,6613,6041,10962,7273,1420,992,1
12179,21353,14005,10245,10962,8485,2231,794,1
28340,1,24119,22854,19769,17173,5274,992,1
8197,1,8947,6961,6829,6667,2637,397,1
2576,1,1,1313,2156,2626,202,1,1
1405,1,778,1838,898,808,1,1,239
5855,1,5835,5910,3414,5455,3448,595,1
1405,1,3501,2101,3774,3232,2028,1,1
13584,1,9336,11427,13479,9496,4665,1389,1
8900,1,7002,10901,7368,4444,2434,1191,1437
12647,21353,9336,8537,9884,7677,4057,595,1
7260,1,6224,6304,6110,5253,1622,397,1
4684,42707,5446,4334,5211,4242,2028,198,1
3279,1,3890,2626,3414,1818,811,1,1
12413,1,16339,12609,10783,9698,2840,794,239
38645,42707,36958,31654,36483,30710,9534,992,239
6089,21353,6224,5122,4493,3232,2840,992,1
13584,64061,16339,15498,11502,12324,5883,2183,1
1873,1,3501,3677,3234,3838,1622,397,239
1639,1,1556,1838,1617,1414,608,1,1
39816,21353,41626,34806,33248,33741,8723,1985,1
9837,1,15561,8537,13299,10506,3854,794,1
6558,1,16728,13660,11142,7677,3245,1588,1
8431,21353,12059,9194,9704,10102,2637,198,1
2576,1,3112,5253,5751,6465,3043,992,1
4450,1,2334,3020,2875,2424,811,1,1
3044,1,3501,3809,5211,2828,2028,794,1
13350,42707,10503,12215,12580,10910,4463,1191,239
9368,1,10892,11295,10603,11314,4868,794,1
2576,1,3112,4728,4493,2424,1014,198,1
4918,1,4668,9719,6649,9496,5071,595,479
7963,1,10503,8668,6829,5657,1420,992,1
1171,1,1556,1970,539,1616,405,1,1
3279,1,4279,4465,4313,1818,1420,198,1
7260,21353,5835,6173,4852,4647,3448,794,1
15692,21353,10114,12346,14197,15961,5274,1389,239
7260,21353,8169,4728,3055,4444,3651,595,1
10773,21353,7780,6961,8267,7071,2840,198,1
3981,1,4668,3677,5032,2626,1622,1,1
1405,1,2334,3940,5211,3636,1825,1,1
10773,1,11281,11952,10064,10304,2434,992,1
9368,1,12449,13003,9525,14345,4463,1389,1
2107,1,778,1313,1258,1212,405,1,1
8900,42707,11670,12215,10962,8889,6086,1389,1
2107,1,1556,2495,1976,3030,1420,397,1
2107,1,2723,2889,3414,1414,608,794,1
3747,1,3501,7224,6829,5455,2434,198,1
2810,1,5057,3283,3594,3232,1622,1,1
6323,1,7391,8406,8087,7475,3651,992,479
8900,1,9336,7355,8806,6061,2231,595,1
15224,1,18673,13922,14018,13334,3651,794,1
3513,1,4668,2889,4313,3434,1622,794,239
25529,1,30344,20752,17792,19598,9534,2977,239
5621,1,1167,4597,4852,1818,1420,397,1
1171,1,1945,2889,1976,1616,608,198,1
7494,1,5446,6041,5391,4444,2840,397,479
5152,1,6613,4991,4313,4647,1014,198,1
9837,21353,6224,9850,5032,4242,2840,397,239
8431,21353,14394,14054,13479,8081,5883,1191,1
13350,21353,9336,9982,9704,10910,4463,1389,1
2576,1,1167,1970,2875,2626,3245,1191,479
2342,1,3501,3152,1078,2020,1622,397,1
5386,1,8558,8931,8087,2020,2028,198,1
13116,1,14783,8537,11142,8889,5477,794,1
11242,1,8558,7749,4493,5253,1622,992,1
3513,1,6613,5122,4493,5859,4057,794,1
1405,1,1167,788,718,1010,608,397,1
4450,1,5057,7618,6469,3434,608,198,1
14755,21353,17506,12871,16534,14143,4057,1191,239
3279,1,1945,3283,2516,4040,811,198,1
11710,21353,10114,9719,13299,6263,4463,1389,479
11476,1,8169,9194,12221,11920,3854,1389,239
1171,1,1167,1970,1258,404,1,1,1
14755,1,6224,8012,8626,5657,3043,595,1
16863,1,13616,17600,16714,12930,7100,992,479
8900,42707,33456,33493,48884,64250,59034,27592,8146
6089,1,4279,5385,4493,4849,1217,1,1
2576,21353,2334,3415,2875,1818,1420,198,1
2107,1,778,1970,1976,1818,202,1,1
