file_prefix,sample
18032FL-111Q2-01-04,EvolvingFront_WGS_Plate4_D01
18032FL-111Q2-01-12,EvolvingFront_WGS_Plate4_D02
18032FL-111Q2-01-20,EvolvingFront_WGS_Plate4_D03
18032FL-111Q2-01-28,EvolvingFront_WGS_Plate4_D04
18032FL-111Q2-01-36,EvolvingFront_WGS_Plate4_D05
18032FL-111Q2-01-44,EvolvingFront_WGS_Plate4_D06
18032FL-111Q2-01-52,EvolvingFront_WGS_Plate4_D07
18032FL-111Q2-01-60,EvolvingFront_WGS_Plate4_D08
18032FL-111Q2-01-68,EvolvingFront_WGS_Plate4_D09
18032FL-111Q2-01-76,EvolvingFront_WGS_Plate4_D10
18032FL-111Q2-01-84,EvolvingFront_WGS_Plate4_D11
18032FL-111Q2-01-92,EvolvingFront_WGS_Plate4_D12
18032FL-111Q2-01-05,EvolvingFront_WGS_Plate4_E01
18032FL-111Q2-01-13,EvolvingFront_WGS_Plate4_E02
18032FL-111Q2-01-21,EvolvingFront_WGS_Plate4_E03
18032FL-111Q2-01-29,EvolvingFront_WGS_Plate4_E04
18032FL-111Q2-01-37,EvolvingFront_WGS_Plate4_E05
18032FL-111Q2-01-45,EvolvingFront_WGS_Plate4_E06
18032FL-111Q2-01-53,EvolvingFront_WGS_Plate4_E07
18032FL-111Q2-01-61,EvolvingFront_WGS_Plate4_E08
18032FL-111Q2-01-69,EvolvingFront_WGS_Plate4_E09
18032FL-111Q2-01-77,EvolvingFront_WGS_Plate4_E10
18032FL-111Q2-01-85,EvolvingFront_WGS_Plate4_E11
18032FL-111Q2-01-93,EvolvingFront_WGS_Plate4_E12
18032FL-111-01-01,EvolvingFront_WGS_Plate1_A01
18032FL-111-01-09,EvolvingFront_WGS_Plate1_A02
18032FL-111-01-17,EvolvingFront_WGS_Plate1_A03
18032FL-111-01-25,EvolvingFront_WGS_Plate1_A04
18032FL-111-01-33,EvolvingFront_WGS_Plate1_A05
18032FL-111-01-41,EvolvingFront_WGS_Plate1_A06
18032FL-111-01-49,EvolvingFront_WGS_Plate1_A07
18032FL-111-01-57,EvolvingFront_WGS_Plate1_A08
18032FL-111-01-65,EvolvingFront_WGS_Plate1_A09
18032FL-111-01-73,EvolvingFront_WGS_Plate1_A10
18032FL-111-01-81,EvolvingFront_WGS_Plate1_A11
18032FL-111-01-89,EvolvingFront_WGS_Plate1_A12
18032FL-111-01-02,EvolvingFront_WGS_Plate1_B01
18032FL-111-01-10,EvolvingFront_WGS_Plate1_B02
18032FL-111-01-18,EvolvingFront_WGS_Plate1_B03
18032FL-111-01-26,EvolvingFront_WGS_Plate1_B04
18032FL-111-01-34,EvolvingFront_WGS_Plate1_B05
18032FL-111-01-42,EvolvingFront_WGS_Plate1_B06
18032FL-111-01-50,EvolvingFront_WGS_Plate1_B07
18032FL-111-01-58,EvolvingFront_WGS_Plate1_B08
18032FL-111-01-66,EvolvingFront_WGS_Plate1_B09
18032FL-111-01-74,EvolvingFront_WGS_Plate1_B10
18032FL-111-01-82,EvolvingFront_WGS_Plate1_B11
18032FL-111-01-90,EvolvingFront_WGS_Plate1_B12
18032FL-111-01-03,EvolvingFront_WGS_Plate1_C01
18032FL-111-01-11,EvolvingFront_WGS_Plate1_C02
18032FL-111-01-19,EvolvingFront_WGS_Plate1_C03
18032FL-111-01-27,EvolvingFront_WGS_Plate1_C04
18032FL-111-01-35,EvolvingFront_WGS_Plate1_C05
18032FL-111-01-43,EvolvingFront_WGS_Plate1_C06
18032FL-111-01-51,EvolvingFront_WGS_Plate1_C07
18032FL-111-01-59,EvolvingFront_WGS_Plate1_C08
18032FL-111-01-67,EvolvingFront_WGS_Plate1_C09
18032FL-111-01-75,EvolvingFront_WGS_Plate1_C10
18032FL-111-01-83,EvolvingFront_WGS_Plate1_C11
18032FL-111-01-91,EvolvingFront_WGS_Plate1_C12
18032FL-111-01-04,EvolvingFront_WGS_Plate1_D01
18032FL-111-01-12,EvolvingFront_WGS_Plate1_D02
18032FL-111-01-20,EvolvingFront_WGS_Plate1_D03
18032FL-111-01-28,EvolvingFront_WGS_Plate1_D04
18032FL-111-01-36,EvolvingFront_WGS_Plate1_D05
18032FL-111-01-44,EvolvingFront_WGS_Plate1_D06
18032FL-111-01-52,EvolvingFront_WGS_Plate1_D07
18032FL-111-01-60,EvolvingFront_WGS_Plate1_D08
18032FL-111-01-68,EvolvingFront_WGS_Plate1_D09
