15609,16951,16591,13719,7608,1650,1
16514,13474,11382,10553,9279,2383,188
23528,25209,19870,21458,12062,4034,188
17646,14560,14469,8794,7608,2017,1
2036,2173,964,1055,556,183,1
1131,869,1157,1758,927,550,1
1583,3694,5208,2110,6124,1467,1
3167,3911,3858,3165,2969,550,1
5655,5215,8295,4221,4268,1100,1
4977,5433,6366,5628,3711,733,1
4977,6302,5594,6683,6124,1833,1
3167,6519,4437,4924,3526,550,1
14026,14343,9838,13015,5196,3851,1
2488,2390,2507,1407,927,1,1
4750,5433,3279,2814,4454,1283,1
9501,7823,6559,7387,3340,1467,1
13800,10214,11382,9849,5938,2750,1
2714,5215,4630,3869,2227,916,1
2488,3042,2700,1,371,366,1
7918,7171,5980,8442,3526,1100,1
6334,5215,4823,3869,2969,1283,188
21491,24557,26044,25327,15774,4401,942
7918,6954,8102,9497,5938,1650,1
7013,5215,7523,7387,2969,1650,1
6108,4563,6366,4924,2969,1467,188
2488,2607,2315,1407,2598,550,1
19229,23905,19870,16885,12248,6051,754
7918,9996,19099,13367,10392,2017,1
11085,13691,10224,7035,7237,2017,1
6560,4781,5594,4221,2412,366,1
9049,11735,7909,7035,7052,2200,377
10180,11083,9646,7739,3154,1650,1
1131,1303,2315,2110,2227,733,1
7239,3259,3858,2814,4082,1283,1
7918,7606,5594,11256,5196,1650,1
1131,1303,964,1407,1299,1,1
4524,3259,3086,2110,927,1100,1
7239,7389,10803,8794,3897,2200,377
14931,8258,11575,12312,7052,2200,1
3393,6302,3665,4924,2227,1,1
11764,11083,16205,16181,9093,3667,377
16741,16516,16205,15478,13362,1833,188
20587,16516,18713,17588,15217,4584,1
32803,36293,34725,28845,24497,6785,942
2036,3259,2893,1758,2227,366,1
1809,2173,2315,2110,1484,550,1
6108,6302,5015,5276,2412,916,1
26242,26296,25851,27790,12619,1650,1
2714,4563,4051,2110,927,1,1
11764,6519,10224,10201,6866,1283,1
6560,3042,6752,5628,3340,916,1
678,2825,2507,2110,2227,1,1
2714,2173,3279,4573,2783,550,1
3393,3259,5208,4924,4268,916,1
42983,38901,40320,40453,24868,8435,565
19003,22601,22957,29197,18744,5318,1
10859,13908,10803,7035,7423,1833,377
11990,11300,13118,12312,5938,1283,1
2488,3911,4823,4573,3340,1650,1
24885,20428,24886,34121,14289,3117,1
17646,15212,15433,20754,13176,2750,565
226,434,2893,1758,742,550,1
2262,5215,2700,3165,2041,916,1
1131,651,771,2814,1113,1,1
2036,2390,3665,3517,2783,183,377
6108,5650,8488,4924,4082,1100,1
5429,8475,5401,4924,1855,1100,1
14252,20428,14854,17588,9464,2200,1
2941,3042,1543,3517,1670,1,1
4750,4346,3472,4573,4639,1100,1
4524,3477,4437,3517,2227,1100,1
6560,5650,4630,7035,3711,1100,1
6334,5433,6752,9497,3897,1650,1
11764,8693,7523,9497,6866,1650,565
13121,16516,13311,12663,13547,3300,377
2941,2825,1929,1407,1299,366,1
23301,21080,20449,16533,17073,3667,1
3393,2173,4437,4573,2598,366,1
2941,4346,6752,5628,3711,733,188
10859,9344,9260,6683,7980,1650,565
1357,869,192,1055,1484,366,1
3393,3911,4437,5628,4082,366,1
13347,14778,11189,11960,7608,2383,188
2941,3042,3472,2462,2412,183,1
2488,1521,1543,2814,371,183,1
2714,1521,1543,1055,556,550,1
5655,6085,6173,6683,5010,2200,188
4298,8041,6366,5276,3897,366,1
8370,6737,6173,8794,4825,3300,1
10180,10214,6559,4924,8908,2383,1
678,4129,3279,2814,5010,733,188
4072,4129,2893,1055,927,1,1
11311,12387,9453,10553,7794,2017,188
2036,4129,1350,2110,2969,1100,1
2262,3694,1929,1407,3154,733,1
2941,1738,1929,1758,4454,916,1
4977,3694,3086,2462,2041,183,377
4977,5215,8488,9146,11691,3667,942
8596,10431,11575,10201,6681,2934,188
2941,2607,1157,1758,2412,733,188
24659,24557,23343,21458,13733,2200,1
7013,5867,5787,4573,1670,733,1
21039,23036,24886,24272,19300,5684,754
28278,28469,28359,29548,17259,5868,188
2714,2825,3086,3869,3154,733,1
1357,1738,2700,3165,2783,366,1
9049,7606,8681,9849,10207,2200,1
4524,5215,5401,6331,3526,366,188
9727,8693,10996,7739,5010,2200,1
6334,6954,5401,6331,3711,550,1
8823,7171,8488,8794,5010,1650,1
6786,8910,7138,5276,4639,366,1
8370,8693,9260,9497,4825,1283,1
1357,2390,771,1407,1484,183,1
3393,2607,3086,2814,2598,916,188
9049,7389,8874,4924,6124,2017,1
9727,11300,9646,9146,4082,2017,188
1809,2173,1350,1,927,366,1
5429,4563,5401,4221,1855,1283,188
7239,6519,7138,7387,4639,2200,1
9275,5433,5594,8090,6866,2200,377
10180,11083,9453,11256,7423,2567,377
4072,4129,2507,2110,3526,1283,1
1131,1303,1157,1758,927,183,1
11085,10866,10803,9849,8722,2383,377
2941,3259,2507,2462,2598,1100,1
4072,2607,3086,2110,1299,366,1
5882,7389,5208,5276,3154,916,1
4750,5650,6173,7387,3526,1100,1
12668,14778,11961,14774,9093,2017,188
2262,2825,3858,4924,3711,366,188
3167,869,2122,2110,2783,733,1
3845,6085,3858,4573,4454,366,1
678,1303,1350,1,371,1,1
11085,11518,11768,14070,9093,1283,377
7918,8041,5980,9849,4454,916,377
2262,3694,4051,4573,2783,733,1
6560,6085,5980,3165,5938,733,188
11085,13691,14276,12312,6124,1833,1
24206,23471,25851,22865,11135,3117,1
16741,18689,15240,16885,8351,2567,377
10180,9562,12925,11960,3897,1467,1
5882,6085,6945,5276,10578,23839,12069
1809,1086,1350,1055,371,183,1
4750,4346,4823,5980,3897,183,1
13121,11952,12925,12663,11320,2567,188
1583,3042,1157,1055,185,366,1
7465,4998,4630,5628,4268,1833,188
2941,3911,5594,5276,7423,2383,377
7691,5650,2893,3869,2969,183,1
6108,4129,4437,3869,1670,1283,1
3393,3477,2315,1407,2227,1283,1
7013,6954,6945,6683,5010,2383,188
7918,3042,1929,2462,1670,1100,1
9501,5650,4630,3869,3340,550,188
4072,6737,4823,5628,4268,366,1
18098,14995,15240,12312,6866,2383,1
2488,1303,1929,703,371,1,1
2262,3911,4051,4573,1855,916,1
6108,6737,4051,5628,6681,1283,188
10180,8258,7138,7739,2598,1833,1
4750,2173,2700,4573,1855,1,1
5429,4129,6173,4221,3154,916,1
8370,6954,5015,9146,5196,1283,188
6786,4346,3086,7739,3154,1,1
4750,6085,3665,3517,4082,1467,1
7691,6737,9646,7739,4082,1100,1
11537,13039,7716,9146,4268,1467,1
1583,2825,1350,2110,1670,733,1
10180,16299,13504,10201,8351,4401,1
8370,6302,6559,5980,5938,1650,188
11537,9996,9453,8090,14661,6968,1697
9275,11083,11382,13015,8165,2567,1
7239,6519,5787,6331,5010,1467,188
4072,4998,4437,3165,1670,183,1
28731,35206,21028,25327,20043,5684,1
70131,64980,63278,57338,42684,8618,377
1131,1521,1543,2814,1113,183,1
5882,4998,5594,2462,3711,366,1
6560,3042,5787,3165,2783,1283,1
10632,10866,13697,9849,4639,916,188
678,2390,1350,1407,371,1,1
14931,15647,14276,15126,6681,2383,377
7013,5433,3086,3517,3897,1650,1
9501,8910,9453,8090,5753,1833,1
904,869,578,1407,556,1,1
8144,7606,7138,7035,5753,1100,377
13121,15430,14661,10904,7237,2934,1
20360,26948,25465,27790,21527,7702,754
4977,9779,5787,4221,5010,1100,188
3393,1521,4437,3165,1113,550,1
14931,11735,10610,11608,7052,2017,188
12216,13691,17362,30604,40828,15404,942
9501,12822,7330,8090,6124,1650,377
8144,11952,11768,9497,5567,916,188
6786,8041,6945,6683,4825,1650,1
